Trip ID,Start Station,Start Time,End Station,End Time,Duration
411343,Easton Square Pl & Townsfair Way,1/5/20 11:11,Seward St & Worth Ave,1/5/20 11:19,7m 28s
411344,Seward St & Worth Ave,1/5/20 12:07,Easton Square Pl & Townsfair Way,1/5/20 12:13,5m 34s
411358,Lucas St & Town St,1/6/20 8:06,Front St & Beck St,1/6/20 8:12,6m 30s
411374,Front St & Beck St,1/6/20 11:52,Lucas St & Town St,1/6/20 11:57,4m 59s
411382,Lucas St & Town St,1/6/20 12:57,Front St & Beck St,1/6/20 13:03,5m 52s
411418,Front St & Beck St,1/6/20 16:37,Lucas St & Town St,1/6/20 16:43,5m 51s
411441,Lucas St & Town St,1/7/20 10:14,Nationwide Arena - Front St,1/7/20 10:25,10m 36s
411445,Neil Ave & Nationwide Blvd,1/7/20 11:27,Lucas St & Town St,1/7/20 11:37,10m 31s
411451,Lucas St & Town St,1/7/20 12:29,Front St & Beck St,1/7/20 12:35,5m 53s
411504,Front St & Beck St,1/7/20 16:44,Lucas St & Town St,1/7/20 16:50,5m 44s
409633,Lucas St & Town St,12/1/19 9:14,3rd St & Sycamore St,12/1/19 9:22,8m 43s
409638,3rd St & Sycamore St,12/1/19 10:21,Lucas St & Town St,12/1/19 10:29,7m 49s
409843,Front St & Beck St,12/5/19 9:50,Lucas St & Town St,12/5/19 9:55,5m 4s
409845,Lucas St & Town St,12/5/19 11:16,Columbus Commons - Rich St,12/5/19 11:21,4m 20s
409986,Columbus Commons - Rich St,12/8/19 19:59,Lucas St & Town St,12/8/19 20:03,4m 7s
410000,Lucas St & Town St,12/9/19 7:40,Front St & Beck St,12/9/19 7:46,6m 6s
410339,Lucas St & Town St,12/16/19 7:41,Nationwide Arena - Front St,12/16/19 7:54,13m 28s
410343,Front St & Beck St,12/16/19 13:09,Lucas St & Town St,12/16/19 13:15,6m 23s
410645,Lucas St & Town St,12/21/19 10:41,3rd St & Sycamore St,12/21/19 10:49,8m 2s
410647,3rd St & Sycamore St,12/21/19 11:41,Lucas St & Town St,12/21/19 11:48,7m 28s
408404,Weinland Park - 6th Ave,11/7/19 18:55,Summit St & 17th Ave,11/7/19 19:01,5m 45s
408405,Summit St & 17th Ave,11/7/19 21:47,Weinland Park - 6th Ave,11/7/19 21:53,5m 50s
408441,Front St & Beck St,11/8/19 15:52,Lucas St & Town St,11/8/19 15:59,6m 17s
408468,Lucas St & Town St,11/9/19 9:21,3rd St & Sycamore St,11/9/19 9:31,10m 3s
408472,3rd St & Sycamore St,11/9/19 11:05,Lucas St & Town St,11/9/19 11:13,8m 29s
