STATION,LAT,LON
3rd St & Sycamore St,39.948893,-82.995192
4th St & Rich St,39.957728,-82.995362
Bicentennial Park,39.955956,-83.003127
Columbus Commons - Rich St,39.957535,-82.998532
Convention Center,39.971348,-83.002175
Easton Square Pl & Townsfair Way,40.048817,-82.915196
Front St & Beck St,39.950169,-83.000126
High St & 2nd Ave,39.982563,-83.004702
High St & 4th Ave,39.985199,-83.005453
High St & Spring St,39.965912,-83.001471
High St & Warren,39.977932,-83.003652
Kilbourne St & Vine St,39.971199,-83.007549
Lane Ave at Olentangy Trail,40.006488,-83.020862
Library - Main Branch,39.961543,-82.990765
Lucas St & Town St,39.957429,-83.011415
Nationwide Arena - Front St,39.969158,-83.004004
Neil Ave & Nationwide Blvd,39.968066,-83.008502
North Bank Park,39.965084,-83.008601
North Market,39.972199,-83.003584
Schiller Park - Stewart Ave,39.942038,-82.994986
Scioto Audubon Center,39.945932,-83.009016
Seward St & Worth Ave,40.055098,-82.908232
Summit St & 17th Ave,40.00198,-83.001084
Thurman Ave & Bruck St,39.939612,-82.987706
Topiary Park - Town St,39.960319,-82.986779
Weinland Park - 6th Ave,39.988765,-82.999552
,,
,,
